line_number,text,sentiment,polarity
1,"films adapted from comic books have had plenty of success , whether they're abou...",Positive,0.17500000000000002
2,"for starters , it was created by alan moore ( and eddie campbell ) , who brought...",Positive,0.11212121212121212
3,to say moore and campbell thoroughly researched the subject of jack the ripper w...,Negative,-0.13020833333333331
4,"the book ( or "" graphic novel , "" if you will ) is over 500 pages long and inclu...",Positive,0.15
5,"in other words , don't dismiss this film because of its source .",Negative,-0.125
6,"if you can get past the whole comic book thing , you might find another stumblin...",Positive,0.06666666666666667
7,getting the hughes brothers to direct this seems almost as ludicrous as casting ...,Negative,-0.08928571428571427
8,"the ghetto in question is , of course , whitechapel in 1888 london's east end .",Neutral,0.0
9,"it's a filthy , sooty place where the whores ( called "" unfortunates "" ) are sta...",Negative,-0.246875
10,"when the first stiff turns up , copper peter godley ( robbie coltrane , the worl...",Neutral,0.01190476190476191
11,"abberline , a widower , has prophetic dreams he unsuccessfully tries to quell wi...",Negative,-0.1
12,"upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( he...",Negative,-0.75
13,"i don't think anyone needs to be briefed on jack the ripper , so i won't go into...",Positive,0.25
14,"in the comic , they don't bother cloaking the identity of the ripper , but scree...",Positive,0.24583333333333335
15,it's funny to watch the locals blindly point the finger of blame at jews and ind...,Neutral,-0.012499999999999997
16,and from hell's ending had me whistling the stonecutters song from the simpsons ...,Neutral,0.0
17,don't worry - it'll all make sense when you see it .,Neutral,0.0
18,"now onto from hell's appearance : it's certainly dark and bleak enough , and it'...",Neutral,-0.008333333333333326
19,the print i saw wasn't completely finished ( both color and music had not been f...,Neutral,-0.05
20,oscar winner martin childs' ( shakespeare in love ) production design turns the ...,Positive,0.125
21,"even the acting in from hell is solid , with the dreamy depp turning in a typica...",Positive,0.20666666666666664
22,ians holm ( joe gould's secret ) and richardson ( 102 dalmatians ) log in great ...,Positive,0.1625
23,"i cringed the first time she opened her mouth , imagining her attempt at an iris...",Negative,-0.1233333333333333
24,"the film , however , is all good .",Positive,0.7
25,"2 : 00 - r for strong violence/gore , sexuality , language and drug content",Positive,0.4333333333333333
26,"plot : two teen couples go to a church party , drink and then drive .",Neutral,0.0
27,they get into an accident .,Neutral,0.0
28,"one of the guys dies , but his girlfriend continues to see him in her life , and...",Neutral,0.0
29,what's the deal ?,Neutral,0.0
30,"watch the movie and "" sorta "" find out . . .",Neutral,0.0
31,critique : a mind-fuck movie for the teen generation that touches on a very cool...,Negative,-0.15166666666666662
32,"which is what makes this review an even harder one to write , since i generally ...",Neutral,-0.03749999999999998
33,"they seem to have taken this pretty neat concept , but executed it terribly .",Negative,-0.375
34,so what are the problems with the movie ?,Neutral,0.0
35,"well , its main problem is that it's simply too jumbled .",Positive,0.08333333333333333
36,"it starts off "" normal "" but then downshifts into this "" fantasy "" world in whic...",Positive,0.15
37,"there are dreams , there are characters coming back from the dead , there are ot...",Negative,-0.06428571428571428
38,"now i personally don't mind trying to unravel a film every now and then , but wh...",Positive,0.19999999999999998
39,"it's obviously got this big secret to hide , but it seems to want to hide it com...",Negative,-0.06000000000000001
40,"and do they make things entertaining , thrilling or even engaging , in the meant...",Positive,0.3833333333333333
41,not really .,Negative,-0.1
42,"the sad part is that the arrow and i both dig on flicks like this , so we actual...",Positive,0.13541666666666666
43,i guess the bottom line with movies like this is that you should always make sur...,Neutral,0.04999999999999999
44,"i mean , showing melissa sagemiller running away from visions for about 20 minut...",Negative,-0.30580357142857145
45,"okay , we get it . . . there",Positive,0.5
46,are people chasing her and we don't know who they are .,Neutral,0.0
47,do we really need to see it over and over again ?,Positive,0.2
48,how about giving us different scenes offering further insight into all of the st...,Negative,-0.051851851851851864
49,"apparently , the studio took this film away from its director and chopped it up ...",Neutral,0.05
50,"there might've been a pretty decent teen mind-fuck movie in here somewhere , but...",Positive,0.14583333333333331
51,"the actors are pretty good for the most part , although wes bentley just seemed ...",Positive,0.22954545454545455
52,"but my biggest kudos go out to sagemiller , who holds her own throughout the ent...",Positive,0.19999999999999998
53,"overall , the film doesn't stick because it doesn't entertain , it's confusing ,...",Positive,0.14375
54,"oh , and by the way , this is not a horror or teen slasher flick . . . it's",Neutral,0.0
55,just packaged to look that way because someone is apparently assuming that the g...,Positive,0.15
56,it also wrapped production two years ago and has been sitting on the shelves eve...,Neutral,0.0
57,whatever . . . skip,Neutral,0.0
58,it !,Neutral,0.0
59,where's joblo coming from ?,Neutral,0.0
60,a nightmare of elm street 3 ( 7/10 ) - blair witch 2 ( 7/10 ) - the crow ( 9/10 ...,Neutral,0.0
